Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [ 0/100] Iter [  10/  26] || Time: 184.5843 sec || lr: 0.010000 || Loss: 1.0037
Epoch: [ 0/100] Iter [  20/  26] || Time: 232.2749 sec || lr: 0.010000 || Loss: 0.8717
Epoch: [ 1/100] Iter [   4/  26] || Time: 349.9634 sec || lr: 0.010000 || Loss: 0.8489
Epoch: [ 1/100] Iter [  14/  26] || Time: 403.3784 sec || lr: 0.010000 || Loss: 0.6777
Epoch: [ 1/100] Iter [  24/  26] || Time: 449.6363 sec || lr: 0.010000 || Loss: 0.7410
Epoch: [ 2/100] Iter [   8/  26] || Time: 559.2391 sec || lr: 0.010000 || Loss: 0.6326
Epoch: [ 2/100] Iter [  18/  26] || Time: 609.2103 sec || lr: 0.010000 || Loss: 0.6298
Epoch: [ 3/100] Iter [   2/  26] || Time: 712.9310 sec || lr: 0.010000 || Loss: 0.7356
Epoch: [ 3/100] Iter [  12/  26] || Time: 771.4762 sec || lr: 0.010000 || Loss: 0.6259
Epoch: [ 3/100] Iter [  22/  26] || Time: 817.5125 sec || lr: 0.010000 || Loss: 0.6644
Epoch: [ 4/100] Iter [   6/  26] || Time: 923.5947 sec || lr: 0.010000 || Loss: 0.6015
Epoch: [ 4/100] Iter [  16/  26] || Time: 973.0448 sec || lr: 0.010000 || Loss: 0.5691
Epoch: [ 4/100] Iter [  26/  26] || Time: 1032.5463 sec || lr: 0.010000 || Loss: 0.5835
Epoch: [ 5/100] Iter [  10/  26] || Time: 1126.2174 sec || lr: 0.010000 || Loss: 0.5850
Epoch: [ 5/100] Iter [  20/  26] || Time: 1174.1666 sec || lr: 0.010000 || Loss: 0.5857
Epoch: [ 6/100] Iter [   4/  26] || Time: 1275.7220 sec || lr: 0.010000 || Loss: 0.5410
Epoch: [ 6/100] Iter [  14/  26] || Time: 1329.9065 sec || lr: 0.010000 || Loss: 0.6091
Epoch: [ 6/100] Iter [  24/  26] || Time: 1376.9689 sec || lr: 0.010000 || Loss: 0.6105
Epoch: [ 7/100] Iter [   8/  26] || Time: 1486.6999 sec || lr: 0.010000 || Loss: 0.5933
Epoch: [ 7/100] Iter [  18/  26] || Time: 1533.8464 sec || lr: 0.010000 || Loss: 0.5236
Epoch: [ 8/100] Iter [   2/  26] || Time: 1636.0059 sec || lr: 0.010000 || Loss: 0.5582
Epoch: [ 8/100] Iter [  12/  26] || Time: 1694.3224 sec || lr: 0.010000 || Loss: 0.5350
Epoch: [ 8/100] Iter [  22/  26] || Time: 1740.6427 sec || lr: 0.010000 || Loss: 0.6720
Epoch: [ 9/100] Iter [   6/  26] || Time: 1848.1361 sec || lr: 0.010000 || Loss: 0.5480
