Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [ 0/100] Iter [  10/  26] || Time: 183.5930 sec || lr: 0.010000 || Loss: 2.0540
Epoch: [ 0/100] Iter [  20/  26] || Time: 233.7483 sec || lr: 0.010000 || Loss: 1.8025
Epoch: [ 1/100] Iter [   4/  26] || Time: 348.9222 sec || lr: 0.010000 || Loss: 1.7602
Epoch: [ 1/100] Iter [  14/  26] || Time: 402.3824 sec || lr: 0.010000 || Loss: 1.5170
Epoch: [ 1/100] Iter [  24/  26] || Time: 449.1038 sec || lr: 0.010000 || Loss: 1.6793
Epoch: [ 2/100] Iter [   8/  26] || Time: 562.9269 sec || lr: 0.010000 || Loss: 1.4783
Epoch: [ 2/100] Iter [  18/  26] || Time: 614.9850 sec || lr: 0.010000 || Loss: 1.4808
Epoch: [ 3/100] Iter [   2/  26] || Time: 719.9390 sec || lr: 0.010000 || Loss: 1.6200
Epoch: [ 3/100] Iter [  12/  26] || Time: 779.0539 sec || lr: 0.010000 || Loss: 1.4627
Epoch: [ 3/100] Iter [  22/  26] || Time: 827.0055 sec || lr: 0.010000 || Loss: 1.5101
Epoch: [ 4/100] Iter [   6/  26] || Time: 941.0544 sec || lr: 0.010000 || Loss: 1.4660
Epoch: [ 4/100] Iter [  16/  26] || Time: 994.1116 sec || lr: 0.010000 || Loss: 1.3947
Epoch: [ 4/100] Iter [  26/  26] || Time: 1054.0660 sec || lr: 0.010000 || Loss: 1.4472
Epoch: [ 5/100] Iter [  10/  26] || Time: 1146.6787 sec || lr: 0.010000 || Loss: 1.4611
Epoch: [ 5/100] Iter [  20/  26] || Time: 1195.5124 sec || lr: 0.010000 || Loss: 1.4399
Epoch: [ 6/100] Iter [   4/  26] || Time: 1302.4347 sec || lr: 0.010000 || Loss: 1.4330
Epoch: [ 6/100] Iter [  14/  26] || Time: 1357.9257 sec || lr: 0.010000 || Loss: 1.4628
Epoch: [ 6/100] Iter [  24/  26] || Time: 1405.8157 sec || lr: 0.010000 || Loss: 1.3893
Epoch: [ 7/100] Iter [   8/  26] || Time: 1513.6526 sec || lr: 0.010000 || Loss: 1.4401
Epoch: [ 7/100] Iter [  18/  26] || Time: 1565.9466 sec || lr: 0.010000 || Loss: 1.3721
Epoch: [ 8/100] Iter [   2/  26] || Time: 1679.1025 sec || lr: 0.010000 || Loss: 1.4098
Epoch: [ 8/100] Iter [  12/  26] || Time: 1740.2665 sec || lr: 0.010000 || Loss: 1.3655
Epoch: [ 8/100] Iter [  22/  26] || Time: 1788.9999 sec || lr: 0.010000 || Loss: 1.4441
Epoch: [ 9/100] Iter [   6/  26] || Time: 1902.2378 sec || lr: 0.010000 || Loss: 1.3902
Epoch: [ 9/100] Iter [  16/  26] || Time: 1955.5365 sec || lr: 0.010000 || Loss: 1.3409
Epoch: [ 9/100] Iter [  26/  26] || Time: 2015.8634 sec || lr: 0.010000 || Loss: 1.3671
Epoch: [10/100] Iter [  10/  26] || Time: 2110.4199 sec || lr: 0.010000 || Loss: 1.4113
Epoch: [10/100] Iter [  20/  26] || Time: 2160.1242 sec || lr: 0.010000 || Loss: 1.4182
Epoch: [11/100] Iter [   4/  26] || Time: 2270.1758 sec || lr: 0.010000 || Loss: 1.3860
Epoch: [11/100] Iter [  14/  26] || Time: 2325.0212 sec || lr: 0.010000 || Loss: 1.4442
Epoch: [11/100] Iter [  24/  26] || Time: 2373.2580 sec || lr: 0.010000 || Loss: 1.4067
Epoch: [12/100] Iter [   8/  26] || Time: 2490.5991 sec || lr: 0.010000 || Loss: 1.4714
Epoch: [12/100] Iter [  18/  26] || Time: 2539.7995 sec || lr: 0.010000 || Loss: 1.2965
Epoch: [13/100] Iter [   2/  26] || Time: 2648.5856 sec || lr: 0.010000 || Loss: 1.4285
Epoch: [13/100] Iter [  12/  26] || Time: 2707.3840 sec || lr: 0.010000 || Loss: 1.4854
Epoch: [13/100] Iter [  22/  26] || Time: 2754.3982 sec || lr: 0.010000 || Loss: 1.3568
Epoch: [14/100] Iter [   6/  26] || Time: 2866.3156 sec || lr: 0.010000 || Loss: 1.3949
Epoch: [14/100] Iter [  16/  26] || Time: 2919.1053 sec || lr: 0.010000 || Loss: 1.4104
Epoch: [14/100] Iter [  26/  26] || Time: 2979.0028 sec || lr: 0.010000 || Loss: 1.3012
Epoch: [15/100] Iter [  10/  26] || Time: 3073.0353 sec || lr: 0.010000 || Loss: 1.2597
Epoch: [15/100] Iter [  20/  26] || Time: 3125.9572 sec || lr: 0.010000 || Loss: 1.3898
Epoch: [16/100] Iter [   4/  26] || Time: 3236.9262 sec || lr: 0.010000 || Loss: 1.3561
Epoch: [16/100] Iter [  14/  26] || Time: 3291.6272 sec || lr: 0.010000 || Loss: 1.3320
Epoch: [16/100] Iter [  24/  26] || Time: 3338.3411 sec || lr: 0.010000 || Loss: 1.3290
Epoch: [17/100] Iter [   8/  26] || Time: 3440.8220 sec || lr: 0.010000 || Loss: 1.2892
Epoch: [17/100] Iter [  18/  26] || Time: 3491.4849 sec || lr: 0.010000 || Loss: 1.4591
Epoch: [18/100] Iter [   2/  26] || Time: 3598.2216 sec || lr: 0.010000 || Loss: 1.3079
